TITLE,ALBUM,ARTIST,IS_NEW
Run to the Hills,The Number of the Beast,Iron Maiden,false
The Evil That Men Do,Seventh Son of a Seventh Son,Iron Maiden,false
The Trooper,Piece of Mind,Iron Maiden,false
The Wicker Man,Brave New World,Iron Maiden,false
Wasted Years,Somewhere in Time,Iron Maiden,false
Wrathchild,Killers,Iron Maiden,false
Been Caught Stealing,Ritual De Lo Habitual,Jane's Addiction,false
Mountain Song,Nothing's Shocking,Jane's Addiction,false
Stop!,Ritual De Lo Habitual,Jane's Addiction,false
Piece of My Heart,Flash Back Internacional,Janis Joplin,false
Forget Her,Grace,Jeff Buckley,false
"Lover, You Should've Come Over",Grace,Jeff Buckley,false
Somebody to Love,Surrealistic Pillow,Jefferson Airplane,false
White Rabbit,Surrealistic Pillow,Jefferson Airplane,false
Are You Gonna Be My Girl,Get Born,Jet,false
All Along the Watchtower,Electric Ladyland,Jimi Hendrix,false
Crosstown Traffic,Electric Ladyland,Jimi Hendrix,false
Fire,Are You Experienced,Jimi Hendrix,false
Foxey Lady,Experience Hendrix: The Best Of Jimi Hendrix,Jimi Hendrix,false
Hey Joe,Are You Experienced,Jimi Hendrix,false
Purple Haze,Are You Experienced,Jimi Hendrix,false
Pain,Futures,Jimmy Eat World,false
Sweetness,Bleed American,Jimmy Eat World,false
The Middle,Bleed American,Jimmy Eat World,false
A Praise Chorus,Bleed American,"Jimmy Eat World,Davey Vonbohlen",false
Bad Reputation,Bad Reputation (Expanded Edition),Joan Jett & the Blackhearts,false
I Hate Myself for Loving You,Up Your Alley,Joan Jett & the Blackhearts,false
I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & the Blackhearts,false
Crimson and Clover,Live New York '82,"Joan Jett & the Blackhearts,the Blackhearts",false
Summer in the City,Have a Little Faith,Joe Cocker,false
Blaze Of Glory - From Young Guns II Soundtrack,Blaze Of Glory,Jon Bon Jovi,false
Any Way You Want It,Departure,Journey,false
Don't Stop Believin',Escape,Journey,false
Separate Ways (Worlds Apart),Frontiers (2023 Remaster),Journey,false
Disorder,Unknown Pleasures (Collector's Edition),Joy Division,false
Love Will Tear Us Apart,Love Will Tear Us Apart,Joy Division,false
She's Lost Control,Unknown Pleasures (Collector's Edition),Joy Division,false
Transmission,Transmission,Joy Division,false
Breaking the Law,British Steel,Judas Priest,false
Living After Midnight,British Steel,Judas Priest,false
Turbo Lover,Turbo 30,Judas Priest,false
You've Got Another Thing Coming,Screaming For Vengeance (Expanded Edition),Judas Priest,false
Babooshka,Never for Ever (2018 Remaster),Kate Bush,false
Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush,false
Nightcall,Nightcall,Kavinsky,false
My Curse,As Daylight Dies,Killswitch Engage,false
My Last Serenade,Alive or Just Breathing (Topshelf Edition),Killswitch Engage,false
The End of Heartache,The End of Heartache,Killswitch Engage,false
When Darkness Falls,The End of Heartache,Killswitch Engage,false
Closer,Only By The Night,Kings of Leon,false
Sex on Fire,Only By The Night,Kings of Leon,false
All Day and All of the Night,Kinks,The Kinks,false
Lola,"Lola Versus Powerman and the Moneygoround, Pt. 1",The Kinks,false
You Really Got Me,Kinks,The Kinks,false
Crazy Crazy Nights,Crazy Nights,KISS,false
Detroit Rock City,Double Platinum,KISS,false
God Gave Rock 'N' Roll To You II,Revenge,KISS,false
I Was Made For Lovin' You,Dynasty,KISS,false
Lick It Up,Lick It Up,KISS,false
Love Gun,Love Gun,KISS,false
Rock And Roll All Nite,Dressed To Kill,KISS,false
Strutter,Kiss,KISS,false
Blind,Korn,Korn,false
Coming Undone,See You On the Other Side,Korn,false
Falling Away from Me,Issues,Korn,false
Freak On a Leash,Follow The Leader,Korn,false
Got the Life,Follow The Leader,Korn,false
Here To Stay,Untouchables,Korn,false
Twisted Transistor,See You On the Other Side,Korn,false
Word Up!,Word Up! (The Remixes),Korn,false
Y'all Want a Single,Take A Look In The Mirror,Korn,false
Pretend We're Dead,Bricks Are Heavy,L7,false
Shitlist,Bricks Are Heavy,L7,false
Heaven's a Lie,Comalies,Lacuna Coil,false
Our Truth,Karmacode,Lacuna Coil,false
Swamped,Comalies,Lacuna Coil,false
Laid to Rest,Ashes of the Wake (15th Anniversary),Lamb of God,false
Now You've Got Something to Die For,Ashes of the Wake (15th Anniversary),Lamb of God,false
Omerta,Ashes of the Wake (15th Anniversary),Lamb of God,false
Redneck,Sacrament (15th Anniversary Edition),Lamb of God,false
Immigrant Song,Led Zeppelin III (Remaster),Led Zeppelin,false
Rock and Roll,Led Zeppelin IV,Led Zeppelin,false
Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,false
Steal My Sunshine,You Can't Stop The Bum Rush,LEN,false
Always On The Run,Mama Said,Lenny Kravitz,false
American Woman,5,Lenny Kravitz,false
Are You Gonna Go My Way,Are You Gonna Go My Way,Lenny Kravitz,false
All My Best Friends Are Metalheads,Hello Rockview,Less Than Jake,false
Break Stuff,Significant Other,Limp Bizkit,false
Eat You Alive,Results May Vary,Limp Bizkit,false
Faith,"Three Dollar Bill, Y'all $",Limp Bizkit,false
My Generation,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,false
My Way,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,false
Nookie,Significant Other,Limp Bizkit,false
Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,false
Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,false
Bleed It Out,Minutes to Midnight,Linkin Park,false
Breaking the Habit,Meteora (Bonus Edition),Linkin Park,false
Crawling,Hybrid Theory (Bonus Edition),Linkin Park,false
Faint,Meteora,Linkin Park,false
Given Up,Minutes to Midnight,Linkin Park,false
Heavy is the Crown,,Linkin Park,true
In the End,Hybrid Theory (Bonus Edition),Linkin Park,false
Numb,Meteora,Linkin Park,false
One Step Closer,Hybrid Theory (Bonus Edition),Linkin Park,false
Papercut,Hybrid Theory (Bonus Edition),Linkin Park,false
Points of Authority,Hybrid Theory (Bonus Edition),Linkin Park,false
Somewhere I Belong,Meteora (Bonus Edition),Linkin Park,false
The Emptiness Machine,,Linkin Park,true
What I've Done,Minutes to Midnight,Linkin Park,false
With You,Hybrid Theory (Bonus Edition),Linkin Park,false
My Own Worst Enemy,A Place In The Sun,Lit,false
Cult of Personality (2023 Remaster),Vivid (2023 Remaster),Living Colour,false
Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,false
Gimme Three Steps,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,false
Sweet Home Alabama,Second Helping (Expanded Edition),Lynyrd Skynyrd,false
Davidian,Burn My Eyes,Machine Head,false
Baggy Trousers,Absolutely,Madness,false
One Step Beyond,One Step Beyond (35th Anniversary),Madness,false
Warriors of the World United,Warriors of the World,Manowar,false
Sex & Candy,Marcy Playground,Marcy Playground,false
I Don't Like The Drugs (But The Drugs Like Me),Mechanical Animals,Marilyn Manson,false
mOBSCENE,The Golden Age Of Grotesque,Marilyn Manson,false
Rock Is Dead,Mechanical Animals,Marilyn Manson,false
The Beautiful People,Antichrist Superstar,Marilyn Manson,false
The Dope Show,Mechanical Animals,Marilyn Manson,false
This Is The New Shit,The Golden Age Of Grotesque,Marilyn Manson,false
Tourniquet,Antichrist Superstar,Marilyn Manson,false
The Widow,Frances the Mute,The Mars Volta,false
